dive_number,date,prompt_number,prompt,accepted_answers,tier,points,answer
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Bachelor griller
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Beer brewing machine
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Beverage fridge
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Deep cut,85,Bottle sterilizer
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Bread maker
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Coffee grinder
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Coffee percolator
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Deep fryer
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Dehydrator
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Electric can opener
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Electric knife
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Electric skillet
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Food steamer
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Rare,60,Griddle
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Air fryer
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Coffee maker
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Espresso machine
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Food processor
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Freezer
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Garbage disposal
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Hand mixer
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Kettle
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Pressure cooker
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Schooler,30,Rice cooker
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Plankton,10,Blender
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Plankton,10,Dishwasher
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Plankton,10,Microwave
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Plankton,10,Oven
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Plankton,10,Refrigerator
71,2026-09-24,3,Name a kitchen appliance (something powered),151,Plankton,10,Stove
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Abilisk
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Abu Bakaar
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Adam Warlock
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Administrator Kwol
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Ahmed
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Akihiko
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Alioth
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Anitolov
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Arclight
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Deep cut,85,Arishem
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Abomination
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Aldrich Killian
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Alexander Pierce
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Arnim Zola
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Baron Zemo
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Cassandra Nova
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Crossbones
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Darren Cross
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Ebony Maw
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Rare,60,Ego
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Doctor Doom
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Doctor Octopus
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Dormammu
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Green Goblin
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Hela
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Kang
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Killmonger
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Mysterio
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Red Skull
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Schooler,30,Scarlet Witch
71,2026-09-24,4,Name a villain from a Marvel Cinematic Universe movie,222,Plankton,10,Loki
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,10-spotted rhododendron moth
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,12-spot strider
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,12-spotted diving beetle
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,15-spotted money spider
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,Bechstein's Myotis
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,Beck's petrel
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,Bedlington Terrier
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,Bee hummingbird
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,Bee-fly
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Deep cut,85,Beecroft's flying squirrel
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Bedbug
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Beetle
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Bird
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Bison
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Blobfish
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Bloodhound
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Bluebird
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Bluegill
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Bonobo
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Rare,60,Border Collie
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Bee
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Bull
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Bunny
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Butterfly
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Coyote
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Crocodile
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Deer
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Dolphin
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Donkey
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Schooler,30,Duck
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Chicken
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Cow
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Dog
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Horse
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Lion
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Monkey
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Mouse
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Pig
71,2026-09-24,5,Name an animal without the letter A in its name (breeds count too),9373,Plankton,10,Sheep
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,10.or
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,5Star
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,Abit
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,Acer
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,Adcom
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,Advan
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,AEG
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,Afrione
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,AG Tel
71,2026-09-24,6,Name a mobile phone brand,581,Deep cut,85,AGM
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,Alcatel
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,Asus
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,BLU
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,Ericsson
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,Honor
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,HTC
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,Jitterbug
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,Kyocera
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,Lenovo
71,2026-09-24,6,Name a mobile phone brand,581,Rare,60,Microsoft
71,2026-09-24,6,Name a mobile phone brand,581,Schooler,30,BlackBerry
71,2026-09-24,6,Name a mobile phone brand,581,Schooler,30,Google
71,2026-09-24,6,Name a mobile phone brand,581,Schooler,30,Huawei
71,2026-09-24,6,Name a mobile phone brand,581,Schooler,30,LG
71,2026-09-24,6,Name a mobile phone brand,581,Plankton,10,Apple
71,2026-09-24,6,Name a mobile phone brand,581,Plankton,10,Motorola
71,2026-09-24,6,Name a mobile phone brand,581,Plankton,10,Nokia
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,1-800-MUSIC-NOW
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,1.FM
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,24Six
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,5sing
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,6 Towns Radio
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,7digital
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,ABC listen
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,AccuRadio
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,Afrotunes
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Deep cut,85,Aftown
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,8tracks
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,Anghami
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,Audiomack
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,Audius
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,Bandcamp
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,BBC Sounds
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,BearShare
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,Beatport
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,Beats Music
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Rare,60,Boomplay
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Schooler,30,Amazon Music
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Schooler,30,iHeartRadio
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Schooler,30,Pandora
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Schooler,30,Radio
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Schooler,30,SiriusXM
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Schooler,30,SoundCloud
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Schooler,30,Tidal
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Schooler,30,TikTok
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Plankton,10,Apple Music
71,2026-09-24,7,"Name a platform people use to listen to music (apps and services, not devices)",585,Plankton,10,Spotify
70,2026-09-23,1,Name a way to prepare eggs,259,One in a Krillion,100,Haminados
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Advocaat
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Äggost
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Akok
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Alaca çılbırı
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,American omelette
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Anda ghotala
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Anglesey eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Bacon and egg pie
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Bai pong moan
70,2026-09-23,1,Name a way to prepare eggs,259,Deep cut,85,Baid mutajjan
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Air-fried egg
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Balut
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Basted eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Breakfast egg casserole
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Century eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Chawanmushi
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Çılbır
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Cloud eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Coddled egg
70,2026-09-23,1,Name a way to prepare eggs,259,Rare,60,Crème brûlée
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Baked eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Egg in a basket
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Egg salad
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Eggs Benedict
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Frittata
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Huevos rancheros
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Over-hard eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Over-medium eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Pickled eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Schooler,30,Quiche
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Boiled eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Deviled eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Fried eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Hard-boiled eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Omelette
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Over-easy eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Poached eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Scrambled eggs
70,2026-09-23,1,Name a way to prepare eggs,259,Plankton,10,Soft-boiled eggs
70,2026-09-23,2,Name a country whose name starts with A,11,Rare,60,Andorra
70,2026-09-23,2,Name a country whose name starts with A,11,Rare,60,Angola
70,2026-09-23,2,Name a country whose name starts with A,11,Rare,60,Armenia
70,2026-09-23,2,Name a country whose name starts with A,11,Schooler,30,Afghanistan
70,2026-09-23,2,Name a country whose name starts with A,11,Schooler,30,Albania
70,2026-09-23,2,Name a country whose name starts with A,11,Plankton,10,Argentina
70,2026-09-23,2,Name a country whose name starts with A,11,Plankton,10,Australia
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,A-Chi Shi
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Aaron Brunet
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Aaron Craze
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Aaron May
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Aaron McCargo Jr.
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Aarthi Sampath
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Aarti Sequeira
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Abi Marquez
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Abigail Mbalo-Mokoena
70,2026-09-23,3,Name a celebrity chef,2104,Deep cut,85,Abir El Saghir
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Aarón Sánchez
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Alain Ducasse
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Alex Guarnaschelli
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Alice Waters
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Alton Brown
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Amaury Guichon
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Andrew Rea
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Andrew Zimmern
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Anne Burrell
70,2026-09-23,3,Name a celebrity chef,2104,Rare,60,Antoni Porowski
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Bobby Flay
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Buddy Valastro
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Emeril Lagasse
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Giada De Laurentiis
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Ina Garten
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Jamie Oliver
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Mario Batali
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Martha Stewart
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Nigella Lawson
70,2026-09-23,3,Name a celebrity chef,2104,Schooler,30,Paula Deen
70,2026-09-23,3,Name a celebrity chef,2104,Plankton,10,Anthony Bourdain
70,2026-09-23,3,Name a celebrity chef,2104,Plankton,10,Gordon Ramsay
70,2026-09-23,3,Name a celebrity chef,2104,Plankton,10,Guy Fieri
70,2026-09-23,4,Name a building material,880,Deep cut,85,Aberdeen granite
70,2026-09-23,4,Name a building material,880,Deep cut,85,Abtswind Sandstone
70,2026-09-23,4,Name a building material,880,Deep cut,85,Acacia
70,2026-09-23,4,Name a building material,880,Deep cut,85,Accrington brick
70,2026-09-23,4,Name a building material,880,Deep cut,85,Acetylated wood
70,2026-09-23,4,Name a building material,880,Deep cut,85,Acid brick
70,2026-09-23,4,Name a building material,880,Deep cut,85,Acoustic plaster
70,2026-09-23,4,Name a building material,880,Deep cut,85,Acoustic tiles
70,2026-09-23,4,Name a building material,880,Deep cut,85,Aerogel
70,2026-09-23,4,Name a building material,880,Deep cut,85,Afzelia
70,2026-09-23,4,Name a building material,880,Rare,60,Acrylic
70,2026-09-23,4,Name a building material,880,Rare,60,Adobe
70,2026-09-23,4,Name a building material,880,Rare,60,Asbestos
70,2026-09-23,4,Name a building material,880,Rare,60,Asphalt
70,2026-09-23,4,Name a building material,880,Rare,60,Asphalt shingles
70,2026-09-23,4,Name a building material,880,Rare,60,Bamboo
70,2026-09-23,4,Name a building material,880,Rare,60,Carpet
70,2026-09-23,4,Name a building material,880,Rare,60,Caulk
70,2026-09-23,4,Name a building material,880,Rare,60,Cedar
70,2026-09-23,4,Name a building material,880,Rare,60,Ceramic tile
70,2026-09-23,4,Name a building material,880,Schooler,30,Aluminum
70,2026-09-23,4,Name a building material,880,Schooler,30,Cement
70,2026-09-23,4,Name a building material,880,Schooler,30,Cinder block
70,2026-09-23,4,Name a building material,880,Schooler,30,Clay
70,2026-09-23,4,Name a building material,880,Schooler,30,Drywall
70,2026-09-23,4,Name a building material,880,Schooler,30,Glass
70,2026-09-23,4,Name a building material,880,Schooler,30,Iron
70,2026-09-23,4,Name a building material,880,Schooler,30,Marble
70,2026-09-23,4,Name a building material,880,Schooler,30,Metal
70,2026-09-23,4,Name a building material,880,Schooler,30,Plaster
70,2026-09-23,4,Name a building material,880,Plankton,10,Brick
70,2026-09-23,4,Name a building material,880,Plankton,10,Concrete
70,2026-09-23,4,Name a building material,880,Plankton,10,Steel
70,2026-09-23,4,Name a building material,880,Plankton,10,Stone
70,2026-09-23,5,Name a phone carrier,3932,One in a Krillion,100,Appalachian Wireless
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,012 Mobile
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,013 Netvision
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,018 X-Fone
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,019 Mobile
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,021 Playmobil
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,1&1
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,10-10-220
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,10-10-321
70,2026-09-23,5,Name a phone carrier,3932,Deep cut,85,10-10-345
